# Canonical icon catalog for terminal UIs
# `name` is short and stable; `alias` is an optional qualified compatibility key.
# New rows may leave `alias` empty. Escapes: \s = space (U+0020), \\ = literal backslash.
name	alias	ascii	unicode	nerd_font
online	status.online	[ON]	🟢	
open	action.open	open	📂	
open-hands	object.openHands	hands	👐	
open-mouth	status.openMouth	:O	😮	
open-mouth-frown	object.openMouthFrown	:(	😦	
optical-disk	device.opticalDisk	disc	💿	󰗮
orange-circle-cod	object.orangeCircleCod	(org)	🟠	
orange-diamond	object.orangeDiamond	<>	🔸	
orange-square-outline	object.orangeSquareOutline	[or]	🟧	
orthodox-cross	object.orthodoxCross	cross	☦	
otter	object.otter	otter	🦦	
output	icon.output	out:	⤴	
owl	object.owl	owl	🦉	󰏒
package	icon.package	[P]	📦	
page-down	nav.pageDown	pgdn	⏬	
page-up	nav.pageUp	pgup	⏫	
pager	device.pager	pager	📟	
paintbrush	object.paintbrush	brush	🖌	
palette	object.palette	palette	🎨	
palm-down	action.palmDown	down	🫳	
palm-tree	object.palmTree	palm	🌴	󱁕
palm-up	action.palmUp	up	🫴	
panda	object.panda	panda	🐼	󰏚
paper-roll	object.paperRoll	roll	🧻	󱅗
paperclip	object.paperclip	clip	📎	
parachute	object.parachute	chute	🪂	󰲴
parked	status.parked	[|]	⏸	
parrot	object.parrot	parrot	🦜	
party-popper	object.partyPopper	party	🎉	󱁖
passenger-ship	object.passengerShip	ship	🛳	
passport-control	security.passportControl	pass	🛂	
paste	action.paste	pst	📋	
pause	icon.pause	||	⏸	
paused	status.paused	[||]	⏸	
paw-prints	object.pawPrints	paws	🐾	
pdf	lang.pdf	pdf	📕	󰈦
pdf-file	file.pdf	[pdf]	📕	
peace-font-awesome	object.peaceFontAwesome	peace	☮	
peach	object.peach	peach	🍑	
peanut	object.peanut	nut	🥜	󰿼
pear	object.pear	pear	🍐	󱨎
peeking-eye	object.peekingEye	peek	🫣	󰈈
pen	object.pen	pen	🖊	
pencil	object.pencil	pen	✏	
pending	status.pending	[*]	⏳	
penguin	object.penguin	peng	🐧	󰻀
phoenix	object.phoenix	phnx	🐦‍🔥	
phone	comm.phone	phone	📞	
php	lang.php	php	🐘	
pi	icon.pi	pi	π	
pi-hole	object.piHole	hole	🕳	󰷱
pickaxe	object.pickaxe	pick	⛏	󰢷
pickup-truck	object.pickupTruck	truck	🛻	
pig	object.pig	pig	🐖	󰐁
pig-face	object.pigFace	pig	🐷	󰐁
pig-nose	object.pigNose	pig	🐽	󱀆
pile-of-poo	object.pileOfPoo	poo	💩	
pills	object.pills	pill	💊	
pin	action.pin	pin	📌	
pinched-fingers	object.pinchedFingers	pinch	🤌	󰪽
pinching-hand	action.pinchingHand	pinch	🤏	󰪽
pine-decoration-bamboo	object.pineDecorationBamboo	pine	🎍	
pineapple	object.pineapple	pine	🍍	󱁆
ping-pong	object.pingPong	ping	🏓	
pipe	sep.pipe	\s|\s	\s│\s	
pirate-flag	object.pirateFlag	pirate	🏴‍☠️	󰨈
pisces	object.pisces	fish	♓	󰪄
pizza	object.pizza	pizza	🍕	󰐉
place-of-worship	object.placeOfWorship	pray	🛐	
place-setting	object.placeSetting	meal	🍽	
placeholder-rail		|	┆	┆
plan	icon.plan	plan	🗺	
play	action.play	>	▶	
playground-slide	object.playgroundSlide	slide	🛝	󱖥
point-down-hand	action.pointDownHand	v	👇	
point-left-hand	object.pointLeftHand	<--	👈	
point-right-hand	action.pointRightHand	->	👉	
point-up	user.pointUp	^	☝	
police-car-generic	object.policeCarGeneric	police	🚓	
pool-eight-ball	object.poolEightBall	8ball	🎱	󰘆
popcorn	object.popcorn	pop	🍿	󰐢
popping-bottle-wine	object.poppingBottleWine	pop!	🍾	
potted-plant-pot	object.pottedPlantPot	plant	🪴	󰋥
pound-banknote	object.poundBanknote	GBP	💷	󰐣
pouring-liquid	object.pouringLiquid	pour	🫗	
power	action.power	PWR	⏻	
powerline	sep.powerline	>	▕	
powerline-left	sep.powerlineLeft	>	▶	
powerline-right	sep.powerlineRight	<	◀	
powerline-thin	sep.powerlineThin	>	┆	
powerline-thin-left	sep.powerlineThinLeft	>	>	
powerline-thin-right	sep.powerlineThinRight	<	<	
pr	icon.pr	PR	⤴	
pretzel	object.pretzel	pretz	🥨	󱕢
preview-rail		|	│	│
previous	nav.previous	<	◀	
prewalk	icon.prewalk	prewalk	🏃	
print	action.print	prt	🖨	
prompt	icon.extensionPrompt	PR	✎	
providers	tab.providers	[P]	🌐	󰖟
pull	git.pull	pull	⬇	
purple-circle-font-awesome	object.purpleCircleFontAwesome	(o)	🟣	
purple-square	object.purpleSquare	[P]	🟪	
push	git.push	push	⬆	
puzzle	object.puzzle	puzzle	🧩	
python	lang.python	py	🐍	
question	status.question	[?]	❓	
question-white	object.questionWhite	?	❔	
queued	status.queued	...	⏳	
quote-border	md.quoteBorder	|	▏	│
rabbit	object.rabbit	rabbit	🐇	󰤇
rabbit-face	object.rabbitFace	rabbit	🐰	󰤇
racing-car	object.racingCar	race	🏎	󰞬
radio	device.radio	radio	📻	
radio-selected	radio.selected	(o)	◉	
radioactive	security.radioactive	rad	☢	󰐼
rail	advisor.rail	|	▎	▎
railway-car	object.railwayCar	rail	🚃	󰯘
railway-track	object.railwayTrack	track	🛤	
rain-cloud	object.rainCloud	rain	🌧	
rain-umbrella	object.rainUmbrella	rain	☔	
rainbow	object.rainbow	rainbw	🌈	
rainbow-flag-rainbow	object.rainbowFlagRainbow	pride	🏳️‍🌈	
raised-fist	object.raisedFist	fist	✊	
raised-hand	comm.raisedHand	hand	✋	
raised-hand-back	user.raisedHandBack	hand	🤚	
raising-hands	user.raisingHands	\\o/	🙌	󰙌
receipt	object.receipt	rcpt	🧾	
record	action.record	rec	⏺	
recycling	action.recycling	recycle	♻	
red-apple	object.redApple	apple	🍎	
red-circle	object.redCircle	(o)	🔴	
red-envelope-open	comm.redEnvelopeOpen	redenv	🧧	
red-exclamation	status.redExclamation	!	❗	
red-square-solid	object.redSquareSolid	[red]	🟥	
red-triangle-up	object.redTriangleUp	up	🔺	󱨊
redo	action.redo	->	↷	
refresh	action.refresh	ref	⟳	
registered	object.registered	(r)	®	
release	git.release	rel	🚀	
reminder-ribbon	object.reminderRibbon	ribbon	🎗	󰢌
remove	action.remove	-	−	
removed	status.removed	-	−	
repeat	action.repeat	rpt	🔁	
repeat-once	action.repeatOnce	re:1	🔂	󰑘
reply	comm.reply	re:	↩	
reply-all	comm.replyAll	re:all	↪	
repository	git.repository	repo	📦	
rescue-helmet	object.rescueHelmet	helm	⛑	
resolve	tool.resolve	[v]	✓	
restroom	object.restroom	wc	🚻	
review	tool.review	rev	◉	
review-git	git.review	rev	👀	
rewind	icon.rewind	<-	↶	
ribbon	object.ribbon	ribbon	🎀	
rice-ball	object.riceBall	rice	🍙	󰟪
rice-cracker	object.riceCracker	rice	🍘	󰟪
right	nav.right	>	▶	
right-arrow	nav.rightArrow	->	➡	
right-facing-fist	object.rightFacingFist	fist>	🤜	
rightwards-hand	object.rightwardsHand	->	🫱	
ring-buoy	object.ringBuoy	(O)	🛟	
ring-classic	object.ringClassic	ring	💍	
ringed-planet	object.ringedPlanet	planet	🪐	
robot	user.robot	bot	🤖	
rocket	object.rocket	rocket	🚀	
rolled-newspaper-font-awesome	object.rolledNewspaperFontAwesome	news	🗞	
roller-skate	object.rollerSkate	skate	🛼	󰴫
round-bottom-left	boxRound.bottomLeft	+	╰	╰
round-bottom-right	boxRound.bottomRight	+	╯	╯
round-horizontal	boxRound.horizontal	-	─	─
round-top-left	boxRound.topLeft	+	╭	╭
round-top-right	boxRound.topRight	+	╮	╮
round-vertical	boxRound.vertical	|	│	│
rss	comm.rss	rss	📡	
ruby	lang.ruby	rb	💎	
rugby-ball	object.rugbyBall	rugby	🏉	󰶙
rule-extension	icon.extensionRule	RL	⚖	
running	status.running	[~]	⟳	
running-shirt	object.runningShirt	shirt	🎽	
running-shoe-sneaker	object.runningShoeSneaker	shoe	👟	󱗈
rust	lang.rust	rs	🦀	
safety-goggles	object.safetyGoggles	goggle	🥽	󰴰
sagittarius	object.sagittarius	sag	♐	󰪅
sailboat	object.sailboat	sail	⛵	󰻈
satellite	device.satellite	sat	🛰	
save	action.save	save	💾	
saxophone	object.saxophone	sax	🎷	󰘉
school	object.school	school	🏫	
scissors	object.scissors	scissors	✂	
scorpio	object.scorpio	Scorp	♏	󰪆
scratch-folder	icon.scratchFolder	[T]	🗑	
screwdriver	object.screwdriver	driver	🪛	
seal	object.seal	seal	🦭	󰑺
search	icon.search	[/]	🔍	
seat	object.seat	seat	💺	󰳃
secret	security.secret	sec	🕵	
seedling	object.seedling	seed	🌱	
selected	nav.selected	->	➤	
send	comm.send	send	📤	
server	device.server	srv	🖥	
service-dog	object.serviceDog	svcdog	🐕‍🦺	󰪭
session	icon.session	id	🆔	󰁑
settled	status.settled	[=]	✓	
sewing-needle	object.sewingNeedle	needle	🪡	󰎑
shadowed	status.shadowed	[/]	○	
share	action.share	shr	📤	
shark	object.shark	shark	🦈	󱢺
sharp-bottom-left	boxSharp.bottomLeft	+	└	└
sharp-bottom-right	boxSharp.bottomRight	+	┘	┘
sharp-horizontal	boxSharp.horizontal	-	─	─
sharp-top-left	boxSharp.topLeft	+	┌	┌
sharp-top-right	boxSharp.topRight	+	┐	┐
sharp-vertical	boxSharp.vertical	|	│	│
sheaf-of-rice	object.sheafOfRice	rice	🌾	󰟪
shell	lang.shell	sh	💻	
shell-tab	tab.shell	[S]	💻	󰆍
shield	security.shield	shld	🛡	
ship	object.ship	ship	🚢	
ship-wheel	object.shipWheel	wheel	🛞	󰠳
shooting-star	object.shootingStar	star	🌠	󱝁
shopping-bag	object.shoppingBag	bag	🛍	
shortcake	object.shortcake	cake	🍰	󰃩
shovel	object.shovel	shovel	🪏	󰜐
shower	object.shower	shower	🚿	
shuffle	action.shuffle	shf	🔀	
silver-medal	object.silverMedal	2nd	🥈	
single-edge-razor	object.singleEdgeRazor	razor	🪒	󱦘
skateboard	object.skateboard	skate	🛹	󱓂
skill	icon.extensionSkill	SK	✦	
skipped	status.skipped	[S]	⏭	
skis	object.skis	skis	🎿	󱌄
skull	object.skull	skull	💀	
skull-crossbones	object.skullCrossbones	skull	☠	
slash	sep.slash	\s/\s	\s/\s	
slash-command	icon.extensionSlashCommand	/	⌘	
sled	object.sled	sled	🛷	󰐛
sleep-mode	status.sleepMode	zzz	😴	⏾
sleepy-face	status.sleepyFace	zzz	😪	󰒲
sliders	object.sliders	sliders	🎛	
slot-machine	object.slotMachine	slots	🎰	󱄔
small-airplane	object.smallAirplane	plane	🛩	
small-blue-diamond	object.smallBlueDiamond	dia	🔹	
smiling-cat	status.smilingCat	:D	😸	
smiling-heart-face	status.smilingHeartFace	<3	🥰	
smiling-tear	object.smilingTear	:')	🥲	
snail	object.snail	snail	🐌	󱙷
snow-cloud	object.snowCloud	snow	🌨	
snow-mountain	object.snowMountain	mt	🏔	
snowflake	object.snowflake	snow	❄	
snowman	object.snowman	snow	☃	
soccer-ball	object.soccerBall	soccer	⚽	󰒸
socks	object.socks	socks	🧦	
soft-ice-cream	object.softIceCream	ice	🍦	󰠪
soon-arrow	nav.soonArrow	soon>	🔜	
sort	action.sort	sort	⇅	
space	sep.space	\s	\s	\s
spade-suit	object.spadeSuit	spade	♠	󰹥
spaghetti-pasta	object.spaghettiPasta	pasta	🍝	󱅠
sparkle	object.sparkle	spark	❇	
sparkler	object.sparkler	spark	🎇	
sparkles	object.sparkles	sparkles	✨	
sparkling-heart	object.sparklingHeart	<3*	💖	
speaker-low	device.speakerLow	vol-	🔈	
speedboat-sailboat	object.speedboatSailboat	boat	🚤	󰻈
spider	object.spider	spider	🕷	
spider-web	object.spiderWeb	web	🕸	󰯊
spin-2	anim.spin2	o	◶	󱑌
spin-3	anim.spin3	o	◷	󱑍
spin-4	anim.spin4	o	◴	󱑎
split	git.split	[|]	◫	
spoon	object.spoon	spoon	🥄	
sport-utility-car-sports	object.sportUtilityCarSports	SUV	🚙	󰞬
sports-medal	object.sportsMedal	medal	🏅	
sql	lang.sql	sql	🗄	
squinting-laugh-wink	object.squintingLaughWink	xD	😆	
ssh	tool.ssh	ssh	⇄	
stadium	object.stadium	stad	🏟	󰿹
star	object.star	star	★	
star-crescent-font-awesome	object.starCrescentFontAwesome	moon	☪	
star-of-david	object.starOfDavid	star	✡	
starry-night	object.starryNight	night	🌃	
starry-weather	object.starryWeather	star	⭐	
stash	git.stash	stash	💼	
stethoscope	object.stethoscope	steth	🩺	
stop	action.stop	-[#]	⏹	
stopped	status.stopped	[#]	⏹	
stopwatch	object.stopwatch	timer	⏱	
storm-cloud-rain	object.stormCloudRain	storm	⛈	
straight-ruler	object.straightRuler	ruler	📏	
straw-cup	object.strawCup	cup	🥤	󰆪
stream-cursor	status.streamCursor	|	▌	▌
studio-microphone	device.studioMicrophone	mic	🎙	
subscription	icon.subscription	(sub)	(sub)	󰙺
success	status.success	[ok]	✔	
sun-cloud	object.sunCloud	partly	⛅	
sun-rain-cloud	object.sunRainCloud	rain	🌦	
sunglasses	object.sunglasses	shades	🕶	󰓠
sunglasses-face	user.sunglassesFace	cool	😎	󰓠
sunny	object.sunny	sun	☀	󰖙
sunrise	object.sunrise	rise	🌅	
sunset	object.sunset	sunset	🌇	
sushi	object.sushi	sushi	🍣	
suspension-railway	object.suspensionRailway	rail	🚟	
swap	cmd.swap	<->	⇄	󰓡
swift	lang.swift	swift	🕊	
symlink	file.symlink	[link]	🔗	
synagogue	object.synagogue	synag	🕍	
sync	action.sync	sync	🔄	
sync-status	status.sync	[~]	🔄	
syringe	object.syringe	syr	💉	
t-shirt	object.tShirt	shirt	👕	
table	object.table	tbl	▦	
taco	object.taco	taco	🌮	󰝢
tag	git.tag	tag	🏷	
tags	git.tags	tags	🏷	
takeout-box	object.takeoutBox	box	🥡	
task	tool.task	>>>	⇶	
tasks	tab.tasks	[K]	📦	󰐱
taurus	object.taurus	Tau	♉	󰪇
taxi	object.taxi	taxi	🚕	
teacup	object.teacup	tea	🍵	󰶞
teapot-tea	object.teapotTea	tea	🫖	󰶞
tear-off-calendar-remove	object.tearOffCalendarRemove	cal-	📆	󰃴
tears-of-joy	status.tearsOfJoy	xD	😂	
teddy-bear	object.teddyBear	teddy	🧸	󱣻
tee-down	boxSharp.teeDown	+	┬	┬
tee-left	boxSharp.teeLeft	+	┤	┤
tee-right	boxSharp.teeRight	+	├	├
tee-up	boxSharp.teeUp	+	┴	┴
telephone	comm.telephone	phone	☎	
television	device.television	tv	📺	
tennis	object.tennis	tennis	🎾	󰶠
tent	object.tent	tent	⛺	󰔈
terminal	device.terminal	term	💻	
text	lang.text	txt	🗒	
text-file	file.text	[txt]	📄	
thermometer	device.thermometer	temp	🌡	
thought-balloon	comm.thoughtBalloon	think	💭	󰨦
thread	object.thread	thread	🧵	󱇫
throughput	icon.throughput	tok/s:	⚡	
thumbs-down	status.thumbsDown	-1	👎	
thumbs-up	status.thumbsUp	+1	👍	
ticket	object.ticket	ticket	🎫	
time	icon.time	t:	⏱	
timer-clock	object.timerClock	timer	⏲	󱎫
todo	tool.todo	[x]	☑	
toilet-solid	object.toiletSolid	wc	🚽	
tokens	icon.tokens	tok:	🪙	
toml	lang.toml	toml	🧾	
tool-extension	icon.extensionTool	TL	🛠	
toolbox	object.toolbox	tools	🧰	
tools	tab.tools	[T]	🔧	󰠭
tooth	object.tooth	tooth	🦷	
toothbrush	object.toothbrush	brush	🪥	󱄩
top-arrow-right	nav.topArrowRight	top>	🔝	󰁜
top-hat	object.topHat	hat	🎩	
tornado	object.tornado	twirl	🌪	
toy-brick	object.toyBrick	brick	🧱	󱊈
tractor	object.tractor	tract	🚜	
traffic-light	object.trafficLight	light	🚥	
train	object.train	train	🚆	
tram	object.tram	tram	🚊	󰔭
transgender-flag	object.transgenderFlag	trans	🏳️‍⚧️	
transgender-symbol	user.transgenderSymbol	trans	⚧	
trash	file.trash	[rm]	🗑	
treasure-chest	object.treasureChest	chest	🪎	󰜦
tree-branch	tree.branch	|--	├─	├─
tree-hook	tree.hook	`-	└	└
tree-horizontal	tree.horizontal	-	─	─
tree-last	tree.last	'--	└─	└─
tree-vertical	tree.vertical	|	│	│
triangular-ruler	object.triangularRuler	ri	📐	
trolleybus	object.trolleybus	bus	🚎	
trophy	object.trophy	trophy	🏆	
tropical-fish	object.tropicalFish	fish	🐠	
trumpet	object.trumpet	horn	🎺	󱂖
tsv	lang.tsv	tsv	📑	󰈛
tulip-flower	object.tulipFlower	tulip	🌷	󰧱
tumbler-glass-font-awesome	object.tumblerGlassFontAwesome	glass	🥃	
turkey	object.turkey	turkey	🦃	󱜛
turtle	object.turtle	turt	🐢	󰳗
twelve-oclock	object.twelveOclock	12:00	🕛	
twelve-thirty	object.twelveThirty	12:30	🕧	
typescript	lang.typescript	ts	🟦	
umbrella	object.umbrella	umbr	☂	
unchecked	checkbox.unchecked	[\s]	☐	
undo	action.undo	<-	↶	
unicorn	object.unicorn	uni	🦄	󱗂
unlink	action.unlink	unln	⛓	
unlock	action.unlock	[U]	🔓	
unlocked	status.unlocked	[U]	🔓	
unpin	action.unpin	unpin	📍	
unselected	radio.unselected	(\s)	○	
up	nav.up	^	▲	
up-button	action.upButton	UP	🆙	󱊨
up-down-arrow	nav.upDownArrow	<->	↕	󰹹
up-left-arrow	nav.upLeftArrow	ul	↖	󱞽
upload	action.upload	up	⬆	
upper-half		#	▀	▀
upwards-button	nav.upwardsButton	up	🔼	
usb	device.usb	usb	🔌	
user-add	user.add	+usr	👤	
user-remove	user.remove	-usr	👤	
vertical-traffic-light	object.verticalTrafficLight	light	🚦	
vibe-send-arrow	tool.vibeSendArrow	->	→	→
vibrate	cmd.vibrate	vib	📳	󰕦
video	comm.video	cam	📹	
video-file	file.video	[vid]	🎥	
videocassette	device.videocassette	VHS	📼	󰨛
view-path	view.path	Path	☰	
view-tree	view.tree	Tree	└	
violin	object.violin	violin	🎻	󰘏
virgo	object.virgo	Virgo	♍	󰪈
volcano	object.volcano	volc	🌋	
volleyball	object.volleyball	vball	🏐	
volume-high	object.volumeHigh	vol+	🔊	
volume-low	object.volumeLow	vol-	🔉	
volume-off	object.volumeOff	vol0	🔇	
wallet	object.wallet	wallet	👛	
waning-crescent-moon	object.waningCrescentMoon	moon	🌘	󰽥
waning-gibbous-moon	object.waningGibbousMoon	moon	🌖	󰽦
warning	icon.warning	[!]	⚠	
warning-status	status.warning	[!]	⚠	
watch	device.watch	watch	⌚	󰖉
water-pistol	object.waterPistol	squirt	🔫	󰜃
water-wave	object.waterWave	wave	🌊	󰼮
watermelon	object.watermelon	melon	🍉	󱁇
wave	cmd.wave	~	∿	󰥛
waving-hand	action.wavingHand	wave	👋	󱠡
wavy-dash-cod	object.wavyDashCod	~	〰	
waxing-crescent-moon	object.waxingCrescentMoon	moon	🌒	󰽧
waxing-gibbous	object.waxingGibbous	moon	🌔	󰽨
weary-cat	status.wearyCat	:~(	🙀	
web-search	tool.webSearch	web	⌕	
wheelchair	object.wheelchair	chair	♿	
white-cane	object.whiteCane	cane	🦯	󱦁
white-circle	object.whiteCircle	(o)	⚪	
white-exclamation	status.whiteExclamation	!	❕	
white-flag	object.whiteFlag	flag	🏳	
white-flower	object.whiteFlower	flower	💮	󰉊
white-small-square	object.whiteSmallSquare	[ ]	▫	󰨕
white-square	object.whiteSquare	[ ]	⬜	
whitespace	view.whitespace	ws	¶	
wifi	device.wifi	wifi	📶	
wind-face	object.windFace	wind	🌬	
window-object	object.windowObject	window	🪟	
wine-glass	object.wineGlass	wine	🍷	
winking-face	object.winkingFace	wink	😉	󰱸
wireless-wifi	device.wirelessWifi	wifi	🛜	
wolf-pack	object.wolfPack	wolf	🐺	
womans-clothes	object.womansClothes	wear	👚	󰾐
womans-hat	object.womansHat	hat	👒	󰥯
womens-room	user.womensRoom	women	🚺	
word-wrap	view.wordWrap	wrap	⏎	
worktree	icon.worktree	[wt]	🌳	
wrench	object.wrench	wrench	🔧	
write	tool.write	+f	✎	
writing-hand	action.writingHand	write	✍	
x-ray	object.xRay	xray	🩻	
xhigh	thinking.xhigh	[xhi]	◕\sxhigh	󰪥\sxhi
xml	lang.xml	xml	⟨⟩	󰗀
yaml	lang.yaml	yaml	📋	
yarn	object.yarn	yarn	🧶	
yellow-circle	object.yellowCircle	(o)	🟡	
yen-banknote	object.yenBanknote	yen	💴	
yin-yang	object.yinYang	yin-y	☯	
zodiac-leo	object.zodiacLeo	Leo	♌	󰪂
zodiac-libra	object.zodiacLibra	Libra	♎	󰪃
zoom-in	action.zoomIn	+	🔍	
zoom-out	action.zoomOut	-	🔎	
